headerImage,Sum of upVotes
https://i.ibb.co/Tvjg7t9/banner.png,955
https://i.imgur.com/im5uCUI.png,928
https://tryhackme-images.s3.amazonaws.com/user-uploads/5f04259cf9bf5b57aed2c476/room-content/6f1d1455dc7e285d71fe4dffb41446cd.png,923
https://i.imgur.com/gq8tre5.png,908
https://i.imgur.com/9fgqk1f.png,891
https://assets.tryhackme.com/room-banners/tickets1.png,853
https://i.imgur.com/HPOyNmZ.png,848
https://i.imgur.com/rT335UA.png,835
https://i.imgur.com/Px3ecQ6.png,834
https://i.imgur.com/ip1yvzT.png,804
https://assets.tryhackme.com/room-banners/spaceman-explosion.png,803
https://i.imgur.com/RDzWHJI.png,792
https://assets.tryhackme.com/additional/banners/powershell.png,791
https://i.imgur.com/zLgun6r.png,789
https://tryhackme-images.s3.amazonaws.com/user-uploads/62c435d1f4d84a005f5df811/room-content/bf86c057f58b26f95802c5499c18ae2a.png,780
https://assets.tryhackme.com/room-banners/introductiontodevsecops.jpg,764
https://tryhackme-images.s3.amazonaws.com/user-uploads/5f04259cf9bf5b57aed2c476/room-content/701fe785951a8e91523d337ba815120e.png,758
https://i.imgur.com/KZSwhD5.png,750
https://assets.tryhackme.com/room-banners/attacking-ad.png,750
https://assets.tryhackme.com/room-banners/generic_code.png,747
https://assets.tryhackme.com/room-banners/openvas.png,741
https://assets.tryhackme.com/room-banners/red-team-tickets3.png,711
https://assets.tryhackme.com/room-banners/python.png,693
https://tryhackme-images.s3.amazonaws.com/user-uploads/5ed5961c6276df568891c3ea/room-content/790b5bc214f0a2223074c2c69a71e908.png,681
https://assets.tryhackme.com/room-banners/zerologon.png,671
https://i.pinimg.com/originals/00/18/34/0018349c60f70fcc30bb40eecafe4d8c.jpg,663
https://tryhackme-images.s3.amazonaws.com/user-uploads/62c435d1f4d84a005f5df811/room-content/43708203c642f258f7c78e1a706e4d0f.png,653
https://i.imgur.com/Ym7mnEm.png,651
https://i.imgur.com/lCvqxKK.png,634
https://i.imgur.com/J1ik7ZU.png,617
https://tryhackme-images.s3.amazonaws.com/user-uploads/5f04259cf9bf5b57aed2c476/room-content/2c13a5f75ac2756a856f176aa2054ab7.png,615
https://i.imgur.com/V9AE3D0.png,607
https://tryhackme-images.s3.amazonaws.com/user-uploads/5eff6381a8b8f6323ba744fe/room-content/5513a10a6a8857d709d5f4dc134205a1.jpg,606
https://i.imgur.com/RlXUj5V.jpg,606
https://tryhackme-images.s3.amazonaws.com/user-uploads/62c435d1f4d84a005f5df811/room-content/852511abe0c7c201fe549b1ffa3fade4.png,605
